Dispatch_ID,GPU_ID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Correlation_ID,Kernel_ID,GRBM_GUI_ACTIVE,SQ_INSTS_VALU_MFMA_MOPS_BF16,SQ_INSTS_VALU_MFMA_MOPS_F16,SQ_INSTS_VALU_MFMA_MOPS_F32,SQ_INSTS_VALU_MFMA_MOPS_F64,SQ_INSTS_VALU_MFMA_MOPS_I8,SQ_WAVES,Start_Timestamp,End_Timestamp
1693,1,349184,256,19968,0,36,4,48,64,"void batch_decode_kernels::grouped_expert_gate_up<16, 1>(float const*, char const*, unsigned long const*, unsigned long const*, int const*, int const*, float*, unsigned short*, int, int, int, int, int)",1694,31,229231.0,2162688.0,0.0,0.0,0.0,0.0,5456.0,4912602350461965.0,4912602350596205.0
1694,1,11264,256,19968,0,32,0,48,64,"batch_decode_kernels::mfma_gate_up_swiglu(float*, float const*, unsigned short const*, unsigned short const*, int, int, int)",1695,20,159082.0,720896.0,0.0,0.0,0.0,0.0,176.0,4912602350672846.0,4912602350761806.0
1695,1,507904,256,11264,0,24,0,48,64,"void batch_decode_kernels::grouped_expert_down<16, 1>(float const*, unsigned short const*, char const*, unsigned long const*, int const*, int const*, float*, int, int, int, int)",1696,32,139327.0,1081344.0,0.0,0.0,0.0,0.0,7936.0,4912602350884686.0,4912602350963887.0
1696,1,1280,256,0,0,12,4,32,64,"batch_decode_kernels::reduce_routes_add(float*, float const*, float const*, int, int, int)",1697,28,62400.0,0.0,0.0,0.0,0.0,0.0,20.0,4912602351110447.0,4912602351140528.0
1697,1,8192,256,11264,0,24,0,48,64,"batch_decode_kernels::mfma_gemm(float*, float const*, unsigned short const*, int, int, int, int)",1698,19,195905.0,360448.0,0.0,0.0,0.0,0.0,128.0,4912602351232848.0,4912602351343088.0
1698,1,1280,256,1024,0,12,4,32,64,"batch_decode_kernels::rmsnorm(float*, float const*, unsigned short const*, int, int, float)",1699,36,32230.0,0.0,0.0,0.0,0.0,0.0,20.0,4912602351438929.0,4912602351451249.0
1699,1,12288,256,11264,0,24,0,48,64,"batch_decode_kernels::mfma_gemm(float*, float const*, unsigned short const*, int, int, int, int)",1700,19,143345.0,393216.0,0.0,0.0,0.0,0.0,192.0,4912602351555889.0,4912602351635250.0
1700,1,2304,256,11264,0,24,0,48,64,"batch_decode_kernels::mfma_gemm(float*, float const*, unsigned short const*, int, int, int, int)",1701,19,145108.0,73728.0,0.0,0.0,0.0,0.0,36.0,4912602351765330.0,4912602351844851.0
1701,1,1280,256,1024,0,24,0,32,64,"batch_decode_kernels::kv_norm_rope(unsigned short*, float const*, unsigned short const*, int, int, int, int, int, int, float const*, int, float)",1702,43,28079.0,0.0,0.0,0.0,0.0,0.0,20.0,4912602351981171.0,4912602351990771.0
1702,1,32768,256,11264,0,24,0,48,64,"batch_decode_kernels::mfma_head_gemm(float*, float const*, unsigned short const*, int, int, int, int, int, int, unsigned long)",1703,29,32535.0,65536.0,0.0,0.0,0.0,0.0,512.0,4912602352103092.0,4912602352115572.0
1703,1,5120,256,0,0,24,0,32,64,"batch_decode_kernels::q_rope(float*, float const*, int, int, int, int, int, int, float const*, int)",1704,39,24243.0,0.0,0.0,0.0,0.0,0.0,80.0,4912602352224692.0,4912602352231732.0
1704,1,30720,256,0,0,16,0,32,64,"batch_decode_kernels::attention_score(float*, float const*, float const*, unsigned short const*, int, int, int, int, int, int, int, float)",1705,27,28497.0,0.0,0.0,0.0,0.0,0.0,480.0,4912602352341333.0,4912602352351253.0
1705,1,20480,256,1024,0,20,4,48,64,"void attention_kernels::softmax_rows_kernel<256>(float*, int, int, int, int)",1706,52,25343.0,0.0,0.0,0.0,0.0,0.0,320.0,4912602352457333.0,4912602352465333.0
1706,1,2621440,256,0,0,16,0,32,64,"batch_decode_kernels::latent_context(float*, float const*, unsigned short const*, int, int, int, int, int, int)",1707,41,66581.0,0.0,0.0,0.0,0.0,0.0,40960.0,4912602352568854.0,4912602352603574.0
1707,1,8192,256,11264,0,24,0,48,64,"batch_decode_kernels::mfma_head_gemm(float*, float const*, unsigned short const*, int, int, int, int, int, int, unsigned long)",1708,29,54821.0,65536.0,0.0,0.0,0.0,0.0,128.0,4912602352692054.0,4912602352717815.0
1708,1,8192,256,11264,0,24,0,48,64,"batch_decode_kernels::mfma_gemm(float*, float const*, unsigned short const*, int, int, int, int)",1709,19,145576.0,262144.0,0.0,0.0,0.0,0.0,128.0,4912602352807735.0,4912602352887735.0
1709,1,1280,256,1024,0,12,4,32,64,"batch_decode_kernels::rmsnorm(float*, float const*, unsigned short const*, int, int, float)",1710,36,34853.0,0.0,0.0,0.0,0.0,0.0,20.0,4912602353040856.0,4912602353054616.0
1710,1,256,256,11264,0,24,0,48,64,"batch_decode_kernels::mfma_gemm(float*, float const*, unsigned short const*, int, int, int, int)",1711,19,155845.0,8192.0,0.0,0.0,0.0,0.0,4.0,4912602353159256.0,4912602353244857.0
1711,1,320,64,0,0,16,0,48,64,"void moe_kernels::router_topk_wave64_kernel<64>(float*, float const*, int*, float*, int, int, int, int, int, float)",1712,55,41207.0,0.0,0.0,0.0,0.0,0.0,5.0,4912602353386457.0,4912602353403738.0
1712,1,256,256,1024,0,12,4,64,64,"batch_decode_kernels::align_routes(int const*, int, int, int, int*, int*, int*)",1713,17,39821.0,0.0,0.0,0.0,0.0,0.0,4.0,4912602353505178.0,4912602353521978.0
1713,1,349184,256,19968,0,36,4,48,64,"void batch_decode_kernels::grouped_expert_gate_up<16, 1>(float const*, char const*, unsigned long const*, unsigned long const*, int const*, int const*, float*, unsigned short*, int, int, int, int, int)",1714,31,231727.0,2162688.0,0.0,0.0,0.0,0.0,5456.0,4912602353627259.0,4912602353763259.0
1714,1,11264,256,19968,0,32,0,48,64,"batch_decode_kernels::mfma_gate_up_swiglu(float*, float const*, unsigned short const*, unsigned short const*, int, int, int)",1715,20,158135.0,720896.0,0.0,0.0,0.0,0.0,176.0,4912602353843259.0,4912602353931580.0
1715,1,507904,256,11264,0,24,0,48,64,"void batch_decode_kernels::grouped_expert_down<16, 1>(float const*, unsigned short const*, char const*, unsigned long const*, int const*, int const*, float*, int, int, int, int)",1716,32,140658.0,1081344.0,0.0,0.0,0.0,0.0,7936.0,4912602354076861.0,4912602354156701.0
1716,1,1280,256,0,0,12,4,32,64,"batch_decode_kernels::reduce_routes_add(float*, float const*, float const*, int, int, int)",1717,28,61997.0,0.0,0.0,0.0,0.0,0.0,20.0,4912602354297501.0,4912602354327422.0
1717,1,8192,256,11264,0,24,0,48,64,"batch_decode_kernels::mfma_gemm(float*, float const*, unsigned short const*, int, int, int, int)",1718,19,192663.0,360448.0,0.0,0.0,0.0,0.0,128.0,4912602354413822.0,4912602354522462.0
1718,1,1280,256,1024,0,12,4,32,64,"batch_decode_kernels::rmsnorm(float*, float const*, unsigned short const*, int, int, float)",1719,36,32287.0,0.0,0.0,0.0,0.0,0.0,20.0,4912602354631103.0,4912602354643423.0
1719,1,12288,256,11264,0,24,0,48,64,"batch_decode_kernels::mfma_gemm(float*, float const*, unsigned short const*, int, int, int, int)",1720,19,141698.0,393216.0,0.0,0.0,0.0,0.0,192.0,4912602354764384.0,4912602354842784.0
1720,1,2304,256,11264,0,24,0,48,64,"batch_decode_kernels::mfma_gemm(float*, float const*, unsigned short const*, int, int, int, int)",1721,19,146195.0,73728.0,0.0,0.0,0.0,0.0,36.0,4912602354978784.0,4912602355059105.0
1721,1,1280,256,1024,0,24,0,32,64,"batch_decode_kernels::kv_norm_rope(unsigned short*, float const*, unsigned short const*, int, int, int, int, int, int, float const*, int, float)",1722,43,28990.0,0.0,0.0,0.0,0.0,0.0,20.0,4912602355120225.0,4912602355130305.0
1722,1,32768,256,11264,0,24,0,48,64,"batch_decode_kernels::mfma_head_gemm(float*, float const*, unsigned short const*, int, int, int, int, int, int, unsigned long)",1723,29,32245.0,65536.0,0.0,0.0,0.0,0.0,512.0,4912602355241986.0,4912602355254466.0
1723,1,5120,256,0,0,24,0,32,64,"batch_decode_kernels::q_rope(float*, float const*, int, int, int, int, int, int, float const*, int)",1724,39,25228.0,0.0,0.0,0.0,0.0,0.0,80.0,4912602355361826.0,4912602355369826.0
1724,1,30720,256,0,0,16,0,32,64,"batch_decode_kernels::attention_score(float*, float const*, float const*, unsigned short const*, int, int, int, int, int, int, int, float)",1725,27,28267.0,0.0,0.0,0.0,0.0,0.0,480.0,4912602355478627.0,4912602355488387.0
1725,1,20480,256,1024,0,20,4,48,64,"void attention_kernels::softmax_rows_kernel<256>(float*, int, int, int, int)",1726,52,25721.0,0.0,0.0,0.0,0.0,0.0,320.0,4912602355602787.0,4912602355611107.0
1726,1,2621440,256,0,0,16,0,32,64,"batch_decode_kernels::latent_context(float*, float const*, unsigned short const*, int, int, int, int, int, int)",1727,41,66270.0,0.0,0.0,0.0,0.0,0.0,40960.0,4912602355720548.0,4912602355755108.0
1727,1,8192,256,11264,0,24,0,48,64,"batch_decode_kernels::mfma_head_gemm(float*, float const*, unsigned short const*, int, int, int, int, int, int, unsigned long)",1728,29,55114.0,65536.0,0.0,0.0,0.0,0.0,128.0,4912602355843428.0,4912602355869028.0
1728,1,8192,256,11264,0,24,0,48,64,"batch_decode_kernels::mfma_gemm(float*, float const*, unsigned short const*, int, int, int, int)",1729,19,145059.0,262144.0,0.0,0.0,0.0,0.0,128.0,4912602355963109.0,4912602356043109.0
1729,1,1280,256,1024,0,12,4,32,64,"batch_decode_kernels::rmsnorm(float*, float const*, unsigned short const*, int, int, float)",1730,36,32923.0,0.0,0.0,0.0,0.0,0.0,20.0,4912602356103749.0,4912602356116549.0
