Dispatch_ID,GPU_ID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Correlation_ID,Kernel_ID,GRBM_GUI_ACTIVE,SQ_LDS_BANK_CONFLICT,SQ_LDS_IDX_ACTIVE,SQ_WAVES,TCC_BUSY_sum,TCP_GATE_EN1_sum,TCP_GATE_EN2_sum,Start_Timestamp,End_Timestamp
106,1,131072,256,0,0,16,0,32,64,"batch_decode_kernels::gemv(float*, float const*, unsigned short const*, int, int, int, int)",107,38,48318.0,0.0,98304.0,2048.0,978176.0,4036191.0,3148475.0,4912630649529296.0,4912630649552336.0
107,1,256,256,1024,0,12,4,32,64,"batch_decode_kernels::rmsnorm(float*, float const*, unsigned short const*, int, int, float)",108,36,34909.0,0.0,70.0,4.0,66674.0,598939.0,16802.0,4912630649711057.0,4912630649724977.0
108,1,4096,256,0,0,16,0,32,64,"batch_decode_kernels::gemv(float*, float const*, unsigned short const*, int, int, int, int)",109,38,45221.0,0.0,3072.0,64.0,249463.0,3712101.0,425159.0,4912630649879697.0,4912630649899697.0
109,1,64,64,0,0,16,0,48,64,"void moe_kernels::router_topk_wave64_kernel<64>(float*, float const*, int*, float*, int, int, int, int, int, float)",110,57,40535.0,0.0,368.0,1.0,45057.0,661885.0,5878.0,4912630650059858.0,4912630650076818.0
110,1,540672,256,0,0,20,4,48,64,"batch_decode_kernels::routed_shared_gate_up(float*, float*, float const*, char const*, unsigned long const*, unsigned long const*, int const*, unsigned short const*, unsigned short const*, int, int, int, int, int)",111,46,157106.0,0.0,405504.0,8448.0,4306387.0,15072866.0,13989876.0,4912630650233139.0,4912630650325939.0
111,1,180224,256,0,0,24,0,32,64,"batch_decode_kernels::gate_up_swiglu(float*, float const*, unsigned short const*, unsigned short const*, int, int, int)",112,23,67684.0,0.0,270336.0,2816.0,1541076.0,6014271.0,5080360.0,4912630650482580.0,4912630650517940.0
112,1,131072,256,0,0,24,0,48,64,"batch_decode_kernels::routed_shared_down(float*, float const*, float const*, char const*, unsigned long const*, int const*, float const*, unsigned short const*, int, int, int, int, int)",113,19,113849.0,0.0,294912.0,2048.0,2950520.0,10810114.0,9587430.0,4912630650676021.0,4912630650740501.0
113,1,131072,256,0,0,16,0,32,64,"batch_decode_kernels::gemv(float*, float const*, unsigned short const*, int, int, int, int)",114,38,56463.0,0.0,98304.0,2048.0,1223201.0,4847092.0,3937013.0,4912630650895542.0,4912630650923702.0
114,1,256,256,1024,0,12,4,32,64,"batch_decode_kernels::rmsnorm(float*, float const*, unsigned short const*, int, int, float)",115,36,32597.0,0.0,70.0,4.0,64112.0,571392.0,14925.0,4912630651076182.0,4912630651088823.0
115,1,233472,256,0,0,16,0,32,64,"batch_decode_kernels::dual_gemv(float*, unsigned short const*, int, float*, unsigned short const*, int, float const*, int, int)",116,37,73509.0,0.0,175104.0,3648.0,1691637.0,6603340.0,4891457.0,4912630651254423.0,4912630651293143.0
