Dispatch_ID,GPU_ID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Correlation_ID,Kernel_ID,GRBM_GUI_ACTIVE,SQ_ACTIVE_INST_FLAT,SQ_ACTIVE_INST_MISC,SQ_ACTIVE_INST_VALU,SQ_ACTIVE_INST_VMEM,SQ_THREAD_CYCLES_VALU,SQ_WAVES,Start_Timestamp,End_Timestamp
57,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,58,13,21058.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912529888736461.0,4912529888742221.0
58,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,59,13,18815.0,2.0,41.0,96.0,0.0,6144.0,8.0,4912529888801421.0,4912529888806061.0
59,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,60,13,23837.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912530460367217.0,4912530460374097.0
60,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,61,13,21080.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912530460457457.0,4912530460463217.0
61,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,62,13,19531.0,2.0,41.0,96.0,0.0,6144.0,8.0,4912530460532177.0,4912530460537297.0
62,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,63,13,21913.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912531031272989.0,4912531031278909.0
63,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,64,13,21018.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912531031349469.0,4912531031355229.0
64,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,65,13,18793.0,2.0,41.0,96.0,0.0,6144.0,8.0,4912531031414749.0,4912531031419389.0
65,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,66,13,23271.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912531609750778.0,4912531609757178.0
66,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,67,13,21558.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912531609825978.0,4912531609831898.0
67,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,68,13,19349.0,2.0,41.0,96.0,0.0,6144.0,8.0,4912531609899578.0,4912531609904538.0
68,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,69,13,23659.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912532189496873.0,4912532189503593.0
69,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,70,13,21680.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912532189572873.0,4912532189579113.0
70,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,71,13,19717.0,2.0,41.0,96.0,0.0,6144.0,8.0,4912532189638953.0,4912532189643753.0
71,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,72,13,23845.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912532757210658.0,4912532757217538.0
72,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,73,13,20590.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912532757292738.0,4912532757298338.0
